Code,Test,Tab,Center,L/B,Task,ST,CT,ToT,Init,CFA,aCFA,FS,FCA,CEDZ,Notes,source,target,position
LauraSuttle,3,Y,N,L,2-1,1:57,2:05,8.0,G ro BBDZ,G to BBDZ,,0.0,,,,,,
HamSandwichRightNow,6,N,Y,B,2-1,2:08,2:16,8.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
ThisIsGreatFun,4,Y,N,B,2-1,2:53,3:00,7.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
CILO,4,Y,N,B,2-1,2:14,2:21,7.0,G to BTaDZ,G to BBDZ,,1.0,G To B,,,G,B,Ta
SuperSecretCodePhrase,2,Y,Y,B,2-1,2:43,2:49,6.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
IAmMrAnnonymous,3,Y,N,L,2-1,2:28,2:34,6.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
abcdefghijklmnop,5,N,Y,L,2-1,1:56,2:02,6.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
IAmTheWinner,4,Y,N,B,2-1,2:45,2:51,6.0,R to BBDZ,G to BBDZ,,0.0,,,,R,B,B
HelloGoodbyeHelloHugo,4,Y,N,B,2-1,2:58,3:04,6.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
ILikeJupyterCon,3,Y,N,L,2-1,2:34,2:39,5.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
GiraffeEatsAnOrange,4,Y,N,B,2-1,2:31,2:36,5.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
SimpleNeptuneMachineDamage,5,N,Y,L,2-1,2:14,2:19,5.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
FootballBaseballLittleLeague,1,Y,Y,L,2-1,3:16,3:20,4.0,G to RBDZ,G to BBDZ,,0.0,,,,G,R,B
MasterBranchXtensorIpyleaflet,1,Y,Y,L,2-1,1:57,2:01,4.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
WalkRunCrawlFly,3,Y,N,L,2-1,2:49,2:53,4.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
WetDogOnBeach,3,Y,N,L,2-1,2:06,2:10,4.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
FoodChancesUnderwaterClod,4,Y,N,B,2-1,2:13,2:17,4.0,G to BBDZ,G to BBDZ,,0.0,,,,G,B,B
JupyterConNewYork,6,N,Y,B,3-1,2:59,3:41,42.0,G to BTaDZ,G to BCDZ,,2.0,Gave Up,,,G,B,Ta
ThisIsGreatFun,4,Y,N,B,3-1,3:19,3:39,20.0,G to BTaDZ,G to BTaDZ,,0.0,,,,G,B,Ta
abcdefghijklmnop,5,N,Y,L,3-1,2:13,2:25,12.0,G to BMDZ,G to BCDZ,,0.0,Tried to drop into Tab,,,,,
StoreCatHiddenFacts,3,Y,N,L,3-1,5:19,5:31,12.0,G to BTaDZ,G to BTaDZ,,0.0,,,,G,B,Ta
IAmTheWinner,4,Y,N,B,3-1,3:15,3:27,12.0,G to BTaDZ,G to BTaDZ,,0.0,,,,G,B,Ta
FunToBeMe,1,Y,Y,L,3-1,2:16,2:28,12.0,G to BTDZ,G to BTaDZ,G to BCDZ,1.0,G to BTaDZ,,,G,B,T
HelloGoodbyeHelloHugo,4,Y,N,B,3-1,3:16,3:27,11.0,G to BTaDZ,G to BTaDZ,,0.0,,,,G,B,Ta
CILO,4,Y,N,B,3-1,2:46,2:56,10.0,G to BTaDZ,G to BTaDZ,,0.0,,,,G,B,Ta
SuperRobotMonkeyTeam,2,Y,Y,B,3-1,2:50,2:59,9.0,G to BTaDZ,G to BTaDZ,G to BCDZ,0.0,,,,G,B,Ta
LauraSuttle,3,Y,N,L,3-1,2:17,2:26,9.0,G to BTaDZ,G to BTaDZ,,0.0,,,,G,B,Ta
HamSandwichRightNow,6,N,Y,B,3-1,2:31,2:40,9.0,G to BCDZ,G to BCDZ,,0.0,,,,G,B,C
ILikeJupyterCon,3,Y,N,L,3-1,2:53,3:02,9.0,G to BTaDZ,G to BTaDZ,,0.0,,,,G,B,Ta
FalseDonkey,1,Y,Y,L,3-1,3:30,3:39,9.0,G to BTaDZ,G to BTaDZ,G to BCDZ,0.0,,,,G,B,Ta
DonkeyAndBabyClothes,1,Y,Y,L,3-1,3:37,3:45,8.0,G to BTaDZ,G to BTaDZ,G to BCDZ,0.0,,,,G,B,Ta
NoMilkForSally,1,Y,Y,L,3-1,3:41,3:49,8.0,G to BTaDZ,G to BTaDZ,G to BCDZ,0.0,,,,G,B,Ta
DogHousePoolShed,2,Y,Y,B,3-1,2:35,2:42,7.0,G to BCDZ,G to BTaDZ,G to BCDZ,0.0,,,,G,B,C
MasterBranchXtensorIpyleaflet,1,Y,Y,L,3-1,2:13,2:20,7.0,G to BTaDZ,G to BTaDZ,G to BCDZ,0.0,,,,G,B,Ta
PopeyeVeganMonkeyMoogle,2,Y,Y,B,3-1,2:53,2:59,6.0,G to BTaDZ,G to BTaDZ,G to BCDZ,0.0,,,,G,B,Ta
SuperSecretCodePhrase,2,Y,Y,B,3-1,3:13,3:18,5.0,G to BTaDZ,G to BTaDZ,G to BCDZ,0.0,,,,G,B,Ta
WetDogOnBeach,3,Y,N,L,3-1,2:22,2:27,5.0,G to BTaDZ,G to BTaDZ,,0.0,,,,G,B,Ta
FoodChancesUnderwaterClod,4,Y,N,B,3-1,2:33,2:38,5.0,G to BTaDZ,G to BTaDZ,,0.0,,,,G,B,Ta
FootballBaseballLittleLeague,1,Y,Y,L,3-1,3:33,3:38,5.0,G to BCDZ,G to BTaDZ,G to BCDZ,0.0,,,,G,B,C
WalkRunCrawlFly,3,Y,N,L,3-1,3:11,3:16,5.0,G to BTaDZ,G to BTaDZ,,0.0,,,,G,B,Ta
IAmTheWinner,4,Y,N,B,3-2,3:35,4:20,45.0,R to GTaDZ,,,0.0,Reorganize Tabs,,,R,G,Ta
ThisIsGreatFun,4,Y,N,B,3-2,3:44,4:18,34.0,B to RTaDZ,,,0.0,Reorganize,,,B,R,Ta
